Initalisierung abgeschlossen !
****************************************************************************************
Taste drücken, um Phase 1 zu starten.
Start Phase 1: Beide Tore werden jetzt mit PWM=200 bis zum Anschlag geöffnet (PHASE1_OPENING)....
Initiale Werte:	4482;	 st:1;	 PWM-R:0;	 PWM-L:0;	 I-R:0;	 I-L:0;	 I-R-Lim:0;	 I-L-Lim:0;	 PWM-R-Ziel:200;	 PWM-L-Ziel:200;	 R-Blk:0;	 L-Blk:0
Start Phase 1: Das linke Tor hat jetzt den Anschlag erreicht (PHASE1_OPENING)....
Start Phase 1: Das rechte Tor hat jetzt den Anschlag erreicht (PHASE1_OPENING)....
Phase 1: Beide Tore sind nun bis zum Anschlag geöffnet und gestoppt
Phase 1: ...  3 Sekunden Pause zur Beruhigung der Tore .....
Phase 1: Ermitteln des erforderlichen PWM-Wertes für Erkennung Überlast/Anschlag beginnt (PHASE1_TESTING)....
Initiale Werte:	14544;	 st:2;	 PWM-R:0;	 PWM-L:0;	 I-R:340;	 I-L:0;	 I-R-Lim:290;	 I-L-Lim:290;	 PWM-R-Ziel:200;	 PWM-L-Ziel:200;	 R-Blk:0;	 L-Blk:0
14556:	 PWM(L): 0;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
32848:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
32856:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 4
32863:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
32870:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
32877:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
32884:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
32891:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
32899:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
32906:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
32913:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
32920:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
32927:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 3
32934:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
32942:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 4
32949:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
32956:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 4
32962:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 2
32969:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
32976:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
32984:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
32991:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
32998:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33005:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33012:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33019:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33027:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33034:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33041:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33048:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33055:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33062:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33070:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33077:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33084:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33091:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33098:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33105:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33113:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33120:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33127:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33134:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33141:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33148:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33156:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33163:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33170:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33177:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33184:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33191:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33199:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33206:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33213:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33220:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33226:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33233:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33241:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33248:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33255:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33262:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33269:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33276:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33284:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33291:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33298:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33305:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33312:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33319:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33327:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33334:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33341:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33348:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33355:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 2
33362:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33370:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33377:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33384:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 0
33391:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33398:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33405:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33413:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33420:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33427:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33434:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33441:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33448:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33456:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33463:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33470:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33477:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33483:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 0
33490:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33498:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33505:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33512:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33519:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33526:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33533:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33541:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33548:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33555:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 3
33562:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33569:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33576:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33584:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33591:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33598:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33605:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 2
33612:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33619:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33627:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33634:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33641:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33648:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33655:	 PWM(L): 100;	 aktuelle Stromstärke: 2;	 Stromstärke (vorheriger Wert): 3
33662:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33670:	 PWM(L): 100;	 aktuelle Stromstärke: 2;	 Stromstärke (vorheriger Wert): 3
33677:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33684:	 PWM(L): 100;	 aktuelle Stromstärke: 2;	 Stromstärke (vorheriger Wert): 3
33691:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33698:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33705:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33713:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33720:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33727:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33734:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33741:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33747:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33755:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 3
33762:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33769:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33776:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33783:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33790:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33798:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33805:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33812:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33819:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33826:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33833:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33841:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33848:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33855:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33862:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33869:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33876:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33884:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 2
33891:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
33898:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33905:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
33912:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33920:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33927:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33934:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33941:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33948:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33955:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33963:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33970:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
33977:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33984:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 4
33991:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
33998:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
34004:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 0
34012:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 4
34019:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
34026:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
34033:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
34040:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34048:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34055:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34062:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34069:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34076:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34083:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34091:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34098:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34105:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34112:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34119:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34126:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34134:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34141:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34148:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34155:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34162:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34169:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34177:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34184:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34191:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34198:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34205:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34212:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34220:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34227:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34234:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34241:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34248:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34255:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34263:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34269:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34276:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34283:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34290:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34297:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34305:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34312:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
34319:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34326:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34333:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34340:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34348:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34355:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34362:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34369:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34376:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34383:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34391:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34398:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34405:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34412:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34419:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34426:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34434:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34441:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34448:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34455:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
34462:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34469:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34477:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34484:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34491:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34498:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
34505:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34512:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 0
34520:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34527:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34533:	 PWM(L): 100;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 0
34540:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
34547:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
34554:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
34562:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34569:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
34576:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
34583:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
34590:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
34597:	 PWM(L): 100;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
34605:	 PWM(L): 100;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
Neuer PWM-Wert: 110
34614:	 PWM(L): 110;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
34621:	 PWM(L): 110;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34628:	 PWM(L): 110;	 aktuelle Stromstärke: 2;	 Stromstärke (vorheriger Wert): 3
34635:	 PWM(L): 110;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
34642:	 PWM(L): 110;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 3
34650:	 PWM(L): 110;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
34657:	 PWM(L): 110;	 aktuelle Stromstärke: 2;	 Stromstärke (vorheriger Wert): 3
34664:	 PWM(L): 110;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
34671:	 PWM(L): 110;	 aktuelle Stromstärke: 2;	 Stromstärke (vorheriger Wert): 3
